Year	Mo	Da	Ho	Lat	Lon	H	Mw	MwUnc	McModel2
1634	12	21	18	37.614	15.081	0	3.47	0.33	0
1635	8	12	0	38.185	15.555	0	4.40	0.46	0
1637	11	20	0	44.317	9.322	0	4.40	0.46	0
1638	3	27	15	39.048	16.289	0	7.09	0.10	1
1638	4	0	0	43.318	11.332	0	4.40	0.46	0
1638	6	8	9	39.279	16.812	0	6.76	0.12	1
1639	4	6	0	44.833	11.294	0	5.33	0.46	1
1639	10	7	0	42.639	13.261	0	6.21	0.15	1
1640	6	19	0	38.632	16.491	0	5.80	0.46	0
1640	6	22	0	38.568	16.524	0	5.33	0.46	0
1641	1	13	6	46.08	14.5	0	4.63	0.46	0
1641	6	8	0	44.377	9.882	0	4.63	0.46	0
1642	6	13	0	45.437	9.667	0	4.92	0.63	0
1643	3	19	2	46	14.5	0	4.63	0.46	0
1643	7	17	0	37.783	14.599	0	4.86	0.46	0
1644	2	15	4	43.978	7.228	0	5.74	0.28	1
1644	5	9	0	44.245	10.952	0	4.86	0.46	0
1646	2	22	0	45.407	11.875	0	4.16	0.46	0
1646	4	5	16	43.551	10.309	0	4.63	0.46	0
1646	4	28	7	42.615	13.247	0	5.90	0.39	1
1646	5	30	1	45.158	10.794	0	3.70	0.46	0
1646	5	31	0	41.905	15.993	0	6.72	0.25	1
1646	6	19	3	42.351	13.399	0	4.86	0.46	0
1647	5	5	12	41.732	15.558	0	5.69	0.40	0
1647	5	17	0	42.415	12.143	0	4.82	0.54	0
1648	0	0	0	44.98	14.9	0	5.56	0.46	1
1648	1	1	0	42.736	12.737	0	4.86	0.46	0
1648	1	13	18	43.933	10.915	0	4.40	0.46	0
1649	1	0	0	38.185	15.555	0	4.40	0.46	0
1653	4	19	4	44.814	10.504	0	4.40	0.46	0
1653	8	15	0	44.216	12.055	0	4.40	0.46	0
1654	7	24	0	41.635	13.683	0	6.33	0.14	1
1655	2	3	0	42.736	12.737	0	4.86	0.46	0
1655	3	25	0	44.06	11.842	0	4.63	0.46	0
1656	6	0	0	39.303	16.252	0	5.33	0.46	0
1656	10	17	0	41.706	15.959	0	4.16	0.46	0
1657	1	29	2	41.726	15.393	0	5.96	0.15	1
1659	11	5	22	38.694	16.249	0	6.57	0.10	1
1661	2	25	1	38.115	13.362	0	4.16	0.46	0
1661	3	12	0	45.705	9.799	0	4.86	0.46	0
1661	3	21	23	44.734	10.863	0	4.86	0.46	0
1661	3	22	12	44.021	11.898	0	6.05	0.12	1
1662	12	29	0	45.407	11.875	0	4.16	0.46	0
1666	4	14	18	44.639	11.114	0	4.16	0.46	0
1667	0	0	0	42.736	12.737	0	5.10	0.46	1
1668	8	22	0	43.514	12.19	0	4.16	0.46	0
1669	3	10	23	37.614	15.026	0	4.03	0.36	0
1669	3	11	6	37.605	15.019	0	2.91	0.30	0
1669	3	11	13	37.614	15.026	0	2.91	0.30	0
1669	3	13	20	37.613	15.166	0	3.19	0.31	0
1669	9	1	3	46.08	14.53	0	4.63	0.46	0
1669	12	29	0	46.08	14.5	0	4.16	0.46	0
1670	1	1	1	45.95	14.33	0	4.40	0.46	0
1670	7	17	1	47.293	11.493	0	5.65	0.20	1
1671	6	20	10	44.674	10.866	0	5.27	0.58	1
1672	4	14	15	43.941	12.576	0	5.59	0.11	1
1672	6	8	17	42.569	13.302	0	5.33	0.46	1
1678	7	15	0	44.835	11.62	0	4.16	0.46	0
1679	3	24	11	43.136	11.665	0	4.86	0.46	0
1680	4	30	11	44.688	8.803	0	5.10	0.46	1
1683	5	25	0	46.025	10.864	0	4.40	0.46	0
1684	10	21	5	46.08	14.5	0	5.10	0.46	0
