rup_id	involved_faults
1168	0 3 4 5 6 29 
1169	0 3 4 5 6 57 
1170	0 3 4 5 6 58 
1171	0 4 5 6 7 8 
1172	0 4 5 6 7 29 
1173	0 4 5 6 7 57 
1174	0 4 5 6 7 58 
1175	0 4 5 6 28 29 
1176	0 4 5 6 29 57 
1177	0 4 5 6 29 58 
1178	0 4 5 6 57 58 
1179	0 4 5 6 58 59 
1180	0 5 6 7 8 9 
1181	0 5 6 7 8 29 
1182	0 5 6 7 8 57 
1183	0 5 6 7 8 58 
1184	0 5 6 7 28 29 
1185	0 5 6 7 29 57 
1186	0 5 6 7 29 58 
1187	0 5 6 7 57 58 
1188	0 5 6 7 58 59 
1189	0 5 6 27 28 29 
1190	0 5 6 28 29 57 
1191	0 5 6 28 29 58 
1192	0 5 6 29 57 58 
1193	0 5 6 29 58 59 
1194	0 5 6 42 58 59 
1195	0 5 6 57 58 59 
1196	0 6 7 8 9 29 
1197	0 6 7 8 9 57 
1198	0 6 7 8 9 58 
1199	0 6 7 8 28 29 
1200	0 6 7 8 29 57 
1201	0 6 7 8 29 58 
1202	0 6 7 8 57 58 
1203	0 6 7 8 58 59 
1204	0 6 7 27 28 29 
1205	0 6 7 28 29 57 
1206	0 6 7 28 29 58 
1207	0 6 7 29 57 58 
1208	0 6 7 29 58 59 
